date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:37:32	57187/57187	---M-Z	200	added ('OK')	text/html	date:Mon,%2019%20Mar%202018%2010:35:37%20GMT	http://themestarz.net/html/appstorm/index-01.html	C:/Users/sanaavay.com/Music/catlog/themestarz.net/html/appstorm/index-01.html	(from )
11:37:32	246/246	---M-Z	404	error ('Not%20Found')	text/html	date:Tue,%2009%20Feb%202021%2006:07:32%20GMT	http://themestarz.net/robots.txt		(from )
11:37:34	144832/144832	---MCZ	200	added ('OK')	text/css	date:Mon,%2019%20Mar%202018%2010:36:15%20GMT	http://themestarz.net/html/appstorm/assets/bootstrap/css/bootstrap.min.css	C:/Users/sanaavay.com/Music/catlog/themestarz.net/html/appstorm/assets/bootstrap/css/bootstrap.min.css	(from http://themestarz.net/html/appstorm/index-01.html)
11:37:34	34734/34734	---MCZ	200	added ('OK')	text/css	date:Mon,%2019%20Mar%202018%2010:37:15%20GMT	http://themestarz.net/html/appstorm/assets/font-awesome/css/fontawesome-all.min.css	C:/Users/sanaavay.com/Music/catlog/themestarz.net/html/appstorm/assets/font-awesome/css/fontawesome-all.min.css	(from http://themestarz.net/html/appstorm/index-01.html)
11:37:34	42922/42922	---MCZ	200	added ('OK')	text/css	date:Fri,%2006%20Apr%202018%2014:44:39%20GMT	http://themestarz.net/html/appstorm/assets/css/style.css	C:/Users/sanaavay.com/Music/catlog/themestarz.net/html/appstorm/assets/css/style.css	(from http://themestarz.net/html/appstorm/index-01.html)
11:37:35	2936/2936	---MCZ	200	added ('OK')	text/css	date:Mon,%2019%20Mar%202018%2010:37:04%20GMT	http://themestarz.net/html/appstorm/assets/css/owl.carousel.min.css	C:/Users/sanaavay.com/Music/catlog/themestarz.net/html/appstorm/assets/css/owl.carousel.min.css	(from http://themestarz.net/html/appstorm/index-01.html)
11:37:35	3797/3797	---M--	200	added ('OK')	image/png	date:Mon,%2019%20Mar%202018%2010:39:28%20GMT	http://themestarz.net/html/appstorm/assets/img/logo-w.png	C:/Users/sanaavay.com/Music/catlog/themestarz.net/html/appstorm/assets/img/logo-w.png	(from http://themestarz.net/html/appstorm/index-01.html)
11:37:35	452/452	---M--	200	added ('OK')	image/svg+xml	date:Mon,%2019%20Mar%202018%2010:40:53%20GMT	http://themestarz.net/html/appstorm/assets/svg/wave-static-02.svg	C:/Users/sanaavay.com/Music/catlog/themestarz.net/html/appstorm/assets/svg/wave-static-02.svg	(from http://themestarz.net/html/appstorm/index-01.html)
11:37:35	479/479	---M--	200	added ('OK')	image/svg+xml	date:Mon,%2019%20Mar%202018%2010:40:52%20GMT	http://themestarz.net/html/appstorm/assets/svg/wave-static-01.svg	C:/Users/sanaavay.com/Music/catlog/themestarz.net/html/appstorm/assets/svg/wave-static-01.svg	(from http://themestarz.net/html/appstorm/index-01.html)
11:37:36	423/423	---M--	200	added ('OK')	image/svg+xml	date:Mon,%2019%20Mar%202018%2010:40:49%20GMT	http://themestarz.net/html/appstorm/assets/svg/organic-shape-01.svg	C:/Users/sanaavay.com/Music/catlog/themestarz.net/html/appstorm/assets/svg/organic-shape-01.svg	(from http://themestarz.net/html/appstorm/index-01.html)
11:37:36	4562/4562	---M--	200	added ('OK')	image/png	date:Mon,%2019%20Mar%202018%2010:39:07%20GMT	http://themestarz.net/html/appstorm/assets/img/icon-watch-heart.png	C:/Users/sanaavay.com/Music/catlog/themestarz.net/html/appstorm/assets/img/icon-watch-heart.png	(from http://themestarz.net/html/appstorm/index-01.html)
11:37:36	306/306	---M--	200	added ('OK')	image/svg+xml	date:Mon,%2019%20Mar%202018%2010:40:50%20GMT	http://themestarz.net/html/appstorm/assets/svg/organic-shape-02.svg	C:/Users/sanaavay.com/Music/catlog/themestarz.net/html/appstorm/assets/svg/organic-shape-02.svg	(from http://themestarz.net/html/appstorm/index-01.html)
11:37:37	4452/4452	---M--	200	added ('OK')	image/png	date:Mon,%2019%20Mar%202018%2010:39:03%20GMT	http://themestarz.net/html/appstorm/assets/img/icon-lcd-chart.png	C:/Users/sanaavay.com/Music/catlog/themestarz.net/html/appstorm/assets/img/icon-lcd-chart.png	(from http://themestarz.net/html/appstorm/index-01.html)
11:37:37	480/480	---M--	200	added ('OK')	image/svg+xml	date:Mon,%2019%20Mar%202018%2010:40:50%20GMT	http://themestarz.net/html/appstorm/assets/svg/organic-shape-03.svg	C:/Users/sanaavay.com/Music/catlog/themestarz.net/html/appstorm/assets/svg/organic-shape-03.svg	(from http://themestarz.net/html/appstorm/index-01.html)
